Applicant_ID,Name,Department,Date_K,Start_Time,End_Time,Duration_Minutes
25,Applicant_25,Dept_2,1,09:45,10:00,15
49,Applicant_49,Dept_2,1,10:45,11:00,15
4,Applicant_4,Dept_1,1,11:30,11:45,15
47,Applicant_47,Dept_2,1,13:45,14:00,15
50,Applicant_50,Dept_2,1,16:15,16:30,15
9,Applicant_9,Dept_1,1,17:00,17:15,15
26,Applicant_26,Dept_1,1,17:15,17:30,15
46,Applicant_46,Dept_2,1,18:15,18:30,15
16,Applicant_16,Dept_1,1,19:00,19:15,15
21,Applicant_21,Dept_1,2,10:00,10:15,15
24,Applicant_24,Dept_1,2,11:00,11:15,15
31,Applicant_31,Dept_2,2,11:15,11:30,15
28,Applicant_28,Dept_1,2,12:30,12:45,15
32,Applicant_32,Dept_2,2,13:00,13:15,15
45,Applicant_45,Dept_2,2,15:00,15:15,15
43,Applicant_43,Dept_1,2,15:30,15:45,15
41,Applicant_41,Dept_2,2,16:30,16:45,15
12,Applicant_12,Dept_2,2,16:45,17:00,15
18,Applicant_18,Dept_1,2,18:00,18:15,15
8,Applicant_8,Dept_1,3,10:30,10:45,15
3,Applicant_3,Dept_1,3,12:15,12:30,15
38,Applicant_38,Dept_1,3,14:15,14:30,15
22,Applicant_22,Dept_1,3,14:30,14:45,15
2,Applicant_2,Dept_2,3,15:45,16:00,15
39,Applicant_39,Dept_1,3,19:30,19:45,15
19,Applicant_19,Dept_2,4,09:15,09:30,15
14,Applicant_14,Dept_1,4,09:30,09:45,15
13,Applicant_13,Dept_2,4,12:00,12:15,15
30,Applicant_30,Dept_2,4,12:45,13:00,15
20,Applicant_20,Dept_2,4,14:00,14:15,15
35,Applicant_35,Dept_1,4,16:00,16:15,15
36,Applicant_36,Dept_1,4,17:45,18:00,15
23,Applicant_23,Dept_1,4,18:30,18:45,15
7,Applicant_7,Dept_2,4,19:15,19:30,15
15,Applicant_15,Dept_1,5,11:45,12:00,15
1,Applicant_1,Dept_2,5,13:30,13:45,15
27,Applicant_27,Dept_2,5,17:30,17:45,15
11,Applicant_11,Dept_2,6,09:00,09:15,15
34,Applicant_34,Dept_1,6,10:15,10:30,15
6,Applicant_6,Dept_2,6,13:15,13:30,15
42,Applicant_42,Dept_1,7,15:15,15:30,15
10,Applicant_10,Dept_2,8,14:45,15:00,15
29,Applicant_29,Dept_2,8,18:45,19:00,15
